source,target,relation
article_79,article_79_para_1,contains
article_79_para_1,article_79,part_of
article_79,article_79_para_2,contains
article_79_para_2,article_79,part_of
article_79,article_79_para_3,contains
article_79_para_3,article_79,part_of
article_79,article_79_para_4,contains
article_79_para_4,article_79,part_of
article_79,article_79_para_5,contains
article_79_para_5,article_79,part_of
article_79,article_79_para_6,contains
article_79_para_6,article_79,part_of
article_79,article_79_para_7,contains
article_79_para_7,article_79,part_of
article_79,article_79_para_8,contains
article_79_para_8,article_79,part_of
article_79,article_79_para_9,contains
article_79_para_9,article_79,part_of
article_80,article_80_para_1,contains
article_80_para_1,article_80,part_of
article_80,article_80_para_2,contains
article_80_para_2,article_80,part_of
article_80,article_80_para_3,contains
article_80_para_3,article_80,part_of
article_80,article_80_para_4,contains
article_80_para_4,article_80,part_of
article_80,article_80_para_5,contains
article_80_para_5,article_80,part_of
article_80,article_80_para_6,contains
article_80_para_6,article_80,part_of
article_80,article_80_para_7,contains
article_80_para_7,article_80,part_of
article_80,article_80_para_8,contains
article_80_para_8,article_80,part_of
article_81,article_81_para_1,contains
article_81_para_1,article_81,part_of
article_81,article_81_para_2,contains
article_81_para_2,article_81,part_of
article_81,article_81_para_3,contains
article_81_para_3,article_81,part_of
article_82,article_82_para_1,contains
article_82_para_1,article_82,part_of
article_82,article_82_para_2,contains
article_82_para_2,article_82,part_of
article_82,article_82_para_3,contains
article_82_para_3,article_82,part_of
article_82,article_82_para_4,contains
article_82_para_4,article_82,part_of
article_82,article_82_para_5,contains
article_82_para_5,article_82,part_of
article_83,article_83_para_1,contains
article_83_para_1,article_83,part_of
article_83,article_83_para_2,contains
article_83_para_2,article_83,part_of
article_84,article_84_para_1,contains
article_84_para_1,article_84,part_of
article_84,article_84_para_2,contains
article_84_para_2,article_84,part_of
article_86,article_86_para_1,contains
article_86_para_1,article_86,part_of
article_86,article_86_para_2,contains
article_86_para_2,article_86,part_of
article_86,article_86_para_3,contains
article_86_para_3,article_86,part_of
article_88,article_88_para_1,contains
article_88_para_1,article_88,part_of
article_88,article_88_para_2,contains
article_88_para_2,article_88,part_of
article_89,article_89_para_1,contains
article_89_para_1,article_89,part_of
article_89,article_89_para_2,contains
article_89_para_2,article_89,part_of
article_90,article_90_para_1,contains
article_90_para_1,article_90,part_of
article_90,article_90_para_2,contains
article_90_para_2,article_90,part_of
article_90,article_90_para_3,contains
article_90_para_3,article_90,part_of
article_91,article_91_para_1,contains
article_91_para_1,article_91,part_of
article_91,article_91_para_2,contains
article_91_para_2,article_91,part_of
article_91,article_91_para_3,contains
article_91_para_3,article_91,part_of
article_91,article_91_para_4,contains
article_91_para_4,article_91,part_of
article_91,article_91_para_5,contains
article_91_para_5,article_91,part_of
article_92,article_92_para_1,contains
article_92_para_1,article_92,part_of
article_92,article_92_para_2,contains
article_92_para_2,article_92,part_of
article_92,article_92_para_3,contains
article_92_para_3,article_92,part_of
article_92,article_92_para_4,contains
article_92_para_4,article_92,part_of
article_92,article_92_para_5,contains
article_92_para_5,article_92,part_of
article_92,article_92_para_6,contains
article_92_para_6,article_92,part_of
article_92,article_92_para_7,contains
article_92_para_7,article_92,part_of
article_93,article_93_para_1,contains
article_93_para_1,article_93,part_of
article_93,article_93_para_2,contains
article_93_para_2,article_93,part_of
article_93,article_93_para_3,contains
article_93_para_3,article_93,part_of
article_95,article_95_para_1,contains
article_95_para_1,article_95,part_of
article_95,article_95_para_2,contains
article_95_para_2,article_95,part_of
article_95,article_95_para_3,contains
article_95_para_3,article_95,part_of
article_95,article_95_para_4,contains
article_95_para_4,article_95,part_of
